Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2020/03/13;2100 UTC;0;1009.4;1009.4;1009;326.6;26.9;22.7;27.1;26.6;23.7;22.5;84.0;77.0;78.0;71.0;3.9;1.3;SE;RJ;CAMBUCI;A604;-21.58749999;-41.95833333;46;20/11/02
2021/05/01;2300 UTC;0;992;992;990.9;;27.3;20;31.8;27.3;20;17.7;65.0;43.0;65.0;49.0;10.1;3;CO;MT;CUIABA;A901;-15.559295;-56.062951;241.56;08/12/02
2021/10/06;1100 UTC;;;;;;;;;;;;;;;;;;CO;GO;ARAGARCAS;A013;-15.90277777;-52.24527777;327.35;13/07/07
2020/05/29;0000 UTC;0;993;993;992.5;;23.4;22;23.8;23.4;22.2;21.8;92.0;89.0;92;234.0;4;0;N;TO;PEDRO AFONSO;A020;-8.968677;-48.177259;189.71;23/01/07
2021/03/22;0200 UTC;;;;;;;;;;;;;;;;;;S;PR;NOVA FATIMA;A842;-23.41527777;-50.57777777;664.31;08/02/07
2022/03/06;0600 UTC;0;1013.3;1013.4;1013.2;0;24.6;23.1;24.8;24.6;23.4;23.1;92.0;92.0;92.0;18.0;4.3;2.5;SE;RJ;CAMPOS DOS GOYTACAZES - SAO TOME;A620;-22.04166666;-41.05166666;7;13/06/08
2021/05/07;0900 UTC;;;;;;;;;;;;;;;;;;SE;SP;ITAPEVA;A714;-23.98194443;-48.88583333;743.33;25/07/06
2020/11/07;1600 UTC;0;992.4;993.6;992.3;3205.8;36.6;13.6;37.3;34.7;14.5;13.3;29.0;24.0;25.0;101.0;10.6;3.7;NE;RN;CAICO;A316;-6.46749999;-37.08499999;171.26;07/01/07
2020/01/17;0700 UTC;23.2;931.4;931.6;931.1;;20.5;19.6;20.6;20.2;19.7;19.3;95.0;94.0;95;198.0;3.5;1;SE;MG;FLORESTAL;A535;-19.885398;-44.416883;753.5;27/06/08
2022/07/21;1800 UTC;0;879.2;879.3;879;;19.4;13.5;20.4;19.2;13.5;12.4;69.0;63.0;69.0;293.0;13.8;6.9;S;RS;SAO JOSE DOS AUSENTES;A829;-28.7486111;-50.05777777;1228.59;26/10/06
2022/08/16;0300 UTC;0;1013.4;1013.6;1013.4;;19.5;15.7;19.7;19.4;15.8;15.7;79.0;78.0;79.0;43.0;7.5;4.3;SE;RJ;MACAE;A608;-22.3761111;-41.81194444;28;22/09/06
2021/01/13;1000 UTC;0;969.9;970;969.4;146.2;23.6;20.2;23.6;22.7;20.5;20.1;86.0;81.0;81.0;113.0;0;0;NE;PI;PAULISTANA;A330;-8.132288;-41.142945;376;31/08/07
2021/12/06;0200 UTC;;;;;;;;;;;;;;;;;;S;SC;Laguna  - Farol de Santa Marta;A866;-28.60444444;-48.81333333;34.36;01/06/08
2022/12/29;0900 UTC;;;;;;;;;;;;;;;;;;NE;CE;JAGUARUANA;A339;-4.78694444;-37.76666666;49;10/11/07
2022/04/25;0000 UTC;0;904.4;904.4;903.9;;22.4;14.9;23.8;22.2;15.3;13.3;65.0;52.0;63.0;127.0;4;2.8;SE;MG;OLIVEIRA;A570;-20.715;-44.86444444;1025;19/10/17
2022/04/25;1000 UTC;;;;;;;;;;;;;;;;;;NE;BA;VALENCA;A444;-13.3436111;-39.12666666;93.12;29/06/09
