Hora,VENTO,TEMPERATURA,PRESSAO,PRECIPTACAO
00,1.5347150259067357,21.763639832125143,962.0728897338404,374.4
01,1.6054021121039805,21.122827346465815,961.3016634429399,337.0
02,1.483947157726181,20.665825688073397,962.9538520213578,487.8
03,1.426293271100739,20.170653789004458,961.4847124304266,404.2
04,1.3734502923976608,19.83814623338257,961.1079734219269,408.0
05,1.3641105488516934,19.58221153846154,960.2399483585393,362.8
06,1.3651845970623264,19.392464204973624,960.7759684091764,391.8
07,1.2932474629195942,18.97025316455696,960.786895011169,551.4
08,1.313283699059561,18.916044776119403,961.0587817638266,406.2
09,1.2419681057954104,18.94470284237726,961.3613653136531,362.8
10,1.4297257769652651,19.6926905673512,962.0185674547982,331.2
11,1.8211888111888113,21.46132578281146,964.2766899766899,347.8
12,2.2390503189227497,23.34516672280229,963.3867518493612,256.2
13,2.38478883321403,24.829584599797364,965.4566745522135,260.8
14,2.52451333813987,25.906612133606,963.6499316939891,252.6
15,2.5568212824010916,27.025032637075718,963.8451120493667,323.8
16,2.542911744266852,27.438210841370136,961.3747343957504,507.6
17,2.4842141863699583,27.756082200861787,960.155901856764,536.8
18,2.4824175824175825,27.627202680067,960.9855994641661,479.4
19,2.3858755005460504,27.108557625948933,959.2343545611014,618.6
20,2.1864992721979624,26.247936177592788,959.7346541536323,616.6
21,1.7897227356746765,24.636204481792717,961.0435162530583,557.8
22,1.6318563789152023,23.056170367673825,959.2438846294268,661.0
23,1.5682316118935837,22.342056074766354,961.3903370786518,392.0
